DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Culture Test ID,Culture Sample 1 Timestamp,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,Latitude,Longitude,Location
,,Marion Mahony Griffin,,,,99436,07/17/2007 12:00:00 AM,16.0,26.2,20.5,,,,,,
,,Hartigan,,,,104920,08/09/2006 12:00:00 AM,14.8,8.6,11.3,,,,,,
,,NA,,,,92980,08/14/2014 12:00:00 AM,67.0,58.0,62.3,,,,,,
,,Marion Mahony Griffin,,,,103494,06/29/2007 12:00:00 AM,1299.7,547.7,843.7,,,,,,
,,NA,,,,106097,07/23/2013 12:00:00 AM,6.0,17.0,10.1,,,,,,
,,Marion Mahony Griffin,,,,99856,08/29/2008 12:00:00 AM,17.3,20.1,18.6,,,,,,
,,Hartigan,,,,102193,08/21/2008 12:00:00 AM,49.6,63.1,55.9,,,,,,
,,NA,,,,97761,07/12/2006 12:00:00 AM,19.9,19.9,19.9,,,,,,
,,Marion Mahony Griffin,,,,101666,08/27/2007 12:00:00 AM,325.5,190.4,248.9,,,,,,
,,Margaret T Burroughs,,,,97651,07/28/2011 12:00:00 AM,118.7,86.0,101.0,,,,,,
,,Hartigan,,,,103055,06/26/2007 12:00:00 AM,27.2,16.1,20.9,,,,,,
,,Marion Mahony Griffin,,,,96856,08/26/2013 12:00:00 AM,3.0,4.0,3.5,,,,,,
,,Hartigan,,,,90683,06/10/2011 12:00:00 AM,248.9,325.5,284.6,,,,,,
,,Marion Mahony Griffin,,,,109772,08/18/2011 12:00:00 AM,21.1,27.5,24.1,,,,,,
,,Margaret T Burroughs,,,,98462,06/20/2007 12:00:00 AM,191.8,172.3,181.8,,,,,,
,,Marion Mahony Griffin,,,,90436,07/05/2011 12:00:00 AM,1.0,1.0,1.0,,,,,,
,,Columbia,,,,102129,08/18/2008 12:00:00 AM,4.1,2.0,2.9,,,,,,
,,Columbia,,,,91771,07/08/2009 12:00:00 AM,26.9,31.7,29.2,,,,,,
,,Marion Mahony Griffin,,,,106645,06/23/2014 12:00:00 AM,48.0,42.0,44.9,,,,,,
,,Marion Mahony Griffin,,,,101751,08/11/2008 12:00:00 AM,47.9,65.7,56.1,,,,,,
